date,ICICI_LargeMidcap,Nifty50_BeES,fund_ret,bench_ret
2007-11-27,17.07,576.0551,-0.0023378141437755406,-0.005839101129800572
2007-11-28,16.9,567.9264,-0.009958992384300092,-0.014110976536793274
2007-11-29,16.88,569.6373,-0.0011834319526626835,0.0030125382443924043
2007-11-30,17.27,582.5633,0.023104265402843716,0.02269163202620339
2007-12-03,17.54,592.8368,0.015634047481181135,0.01763499348482811
2007-12-04,17.54,592.1568,0.0,-0.0011470273100456785
2007-12-05,17.74,600.3792,0.011402508551881407,0.013885511405087314
2007-12-06,17.71,601.8497,-0.0016910935738443378,0.0024492853849700236
2007-12-07,17.75,603.8096,0.0022586109542630517,0.003256460873869438
2007-12-10,17.66,602.4102,-0.005070422535211283,-0.0023176180040860306
2007-12-11,18.0,616.0645,0.01925254813137034,0.022666116875178943
2007-12-12,18.13,622.2714,0.007222222222222241,0.010075081424104182
2007-12-13,17.86,612.0423,-0.014892443463871974,-0.016438325785179897
2007-12-14,17.8,610.9811,-0.0033594624860021627,-0.0017338670872911743
2007-12-17,17.13,583.7067,-0.03764044943820233,-0.04464033339165485
2007-12-18,17.01,580.2015,-0.007005253940455147,-0.0060050706973210355
2007-12-19,17.03,581.1463,0.0011757789535566943,0.0016283997886941126
2007-12-20,17.06,582.6786,0.0017615971814444187,0.0026366854611308277
2007-12-24,17.61,604.6754,0.03223915592028148,0.03775117191535782
2007-12-26,17.91,613.9607,0.017035775127768327,0.015355842159280764
2007-12-27,17.92,615.0336,0.0005583472920156485,0.0017475059885754263
2007-12-28,17.93,614.8452,0.0005580357142855874,-0.00030632472762459617
2007-12-31,18.1,620.7522,0.009481316229782655,0.009607296275550459
2008-01-01,18.08,621.3254,-0.0011049723756907381,0.0009233958413679133
2008-01-02,18.18,624.8432,0.005530973451327581,0.005661767569779208
2008-01-03,18.09,624.7487,-0.004950495049504955,-0.00015123794257509982
2008-01-04,18.36,634.387,0.014925373134328401,0.01542748308239772
2008-01-07,18.39,634.8411,0.0016339869281045694,0.0007158091196699523
2008-01-08,18.41,635.7153,0.0010875475802065715,0.001377037498044853
2008-01-09,18.34,634.1088,-0.0038022813688213253,-0.0025270746197235683
2008-01-10,18.04,622.5128,-0.016357688113413316,-0.01828708259528966
2008-01-11,18.19,626.8256,0.008314855875831695,0.006928050314788825
2008-01-14,18.21,627.4897,0.001099505222649677,0.0010594653441085011
2008-01-15,17.84,614.1261,-0.020318506315211482,-0.021296923280174962
2008-01-16,17.45,600.1648,-0.021860986547085237,-0.022733604710823974
2008-01-17,17.36,597.8901,-0.005157593123209181,-0.003790125645489417
2008-01-18,16.78,576.9878,-0.033410138248847865,-0.03496010387193227
2008-01-21,15.45,527.016,-0.04630020833333341,-0.05105914516425059
2008-01-22,14.6,495.9081,-0.04630020833333341,-0.05105914516425059
2008-01-23,15.48,526.1784,0.048735438676587146,0.05241275355320959
2008-01-24,14.96,509.05,-0.03359173126614989,-0.032552457493504106
2008-01-25,15.94,544.152,0.048735438676587146,0.05241275355320959
2008-01-28,15.65,532.8831,-0.018193224592220725,-0.02070910333877307
2008-01-29,15.61,533.6582,-0.0025559105431310902,0.001454540404827842
2008-01-30,15.35,522.0606,-0.01665598975016014,-0.02173226233570469
2008-01-31,15.24,519.0241,-0.007166123778501565,-0.005816374574139527
2008-02-01,15.68,537.4514,0.02887139107611536,0.03550374635782827
2008-02-04,16.07,552.4469,0.024872448979591955,0.027901127432173434
2008-02-05,16.12,554.5125,0.0031113876789048422,0.0037390018841629846
2008-02-06,15.64,538.1645,-0.02977667493796532,-0.029481751989360094
